,control number,personal name,personal relationship
1,9992132490501488,"Rebuffi, Pierre",aut
2,9992133457501488,Priscianus Caesariensis.,aut
4,9992133466501488,"Le Roy, Louis",aut
5,9992133467601488,"Delbène, Alphonse",aut
6,9992135299701488,Anselmus Cantuariensis,aut
7,9992139606001488,"Carrion, Louis",edt
8,9992141290101488,Cebes Thebanus,aut
9,9992141290201488,Aristoteles.,aut
10,9992141304001488,Pius,dte
11,9992141470301488,Henry,pub
12,9992146280701488,Henry,aut
13,9992146280801488,Henry,aut
17,9992146281501488,"de Tyard, Pontus",aut
19,9992146281701488,"de Gondi, Pierre",oth
20,9992146281901488,Henry,aut
21,9992146282101488,"Guarna, Andrea",aut
22,9992146282201488,"Duchesne, Léger",aut
23,9992154109701488,"Erasmus Roterodamus, Desiderius",edt
24,9992166899001488,"Patrizi, Francesco",aut
25,9992169195201488,"Richeome, Louis",aut
26,9992173406801488,"Crocquet, André",aut
27,9992176194601488,"Auger, Émond",aut
28,9992176195001488,"Auger, Émond",aut
29,9992176195701488,"Auger, Émond",aut
30,9992176196201488,"Auger, Émond",aut
31,9992177295501488,"Camerarius, Bartholomeus",aut
32,9992179098501488,"Bovio, Giovanni Carlo",edt
33,9992179103401488,"Fabri, Johann (of Heilbrunn)",aut
34,9992179109101488,"Beauxamis, Thomas",aut
35,9992182497401488,"de Sainctes, Claude",aut
36,9992182506901488,"Chappuys, Gabriel",trl
38,9992183204501488,"Brunner, Johann",aut
39,9992185397301488,"Pibrac, Gui du Faur",aut
40,9992185398201488,"Pibrac, Gui du Faur",aow
41,9992186200701488,"Ogier, Simon",aut
42,9992186201201488,"Ceneau, Robert",aut
43,9992187097901488,"Pistor, Martinus",aut
44,9992187102601488,"de Beaucaire-Péguillon, François",aut
45,9992187106401488,"Richardot, François",aut
46,9992189104701488,"Catullus, Caius Valerius",aut
47,9992192307601488,"Carasse, Bernard",pat
48,9992193410101488,"Bruto, Giovanni Michele",ann
49,9992195185801488,"Givanius, Obertus",edt
50,9992202556701488,"Lambin, Denis",edt
51,9992220685301488,"Charron, Pierre",aut
52,9992220686601488,"Palma-Cayet, Pierre-Victor",aut
53,9992220686701488,"Palma-Cayet, Pierre-Victor",aut
54,9992220686801488,"Palma-Cayet, Pierre-Victor",aut
55,9992220686901488,"Palma-Cayet, Pierre-Victor",aut
56,9992220688201488,"Bruneau, Jean",aut
57,9992221114701488,"Flaminio, Marco Antonio",aut
58,9992221133801488,"Du Val, Antoine",aut
59,9992221133901488,"Du Val, Antoine",aut
60,9992221134201488,"Benoist, René",aut
61,9992221134401488,"Benoist, René",aut
62,9992221134501488,"Benoist, René",aut
63,9992221134801488,"Benoist, René",aut
64,9992221135501488,"Du Pré, Jacques",aut
65,9992221140201488,"Doremet, Jacques",aut
66,9992221140301488,"Doremet, Jacques",aut
67,9992221141901488,"Doremet, Jacques",aut
68,9992221142201488,"Doré, Pierre",aut
69,9992221144901488,"de Sainctes, Claude",aut
70,9992221145401488,"de Reboul, Guillaume",aut
71,9992221149301488,"de Reboul, Guillaume",aut
72,9992221149601488,"de Reboul, Guillaume",aut
73,9992221150401488,"de Reboul, Guillaume",aut
74,9992221166601488,"Bourgeois, Jacques",trl
75,9992221166701488,"de Launoy, Matthieu",aut
76,9992221167501488,"Coturie, Louis",aut
77,9992221177001488,"de Bordes, Jean",aut
78,9992221204901488,"Courtin, Pierre",aut
79,9992224395801488,"Fabricius Boderianus, Guido",trl
80,9992225186001488,"Du Duc, Fronton",aut
81,9992225659601488,"Talpin, Jean",aut
82,9992225659701488,"Hervet, Gentian",aut
83,9992225662401488,"Hay, John",aut
84,9992225662701488,"Hay, John",aut
85,9992225663201488,"Benoist, René",aut
86,9992225681501488,"Benoist, René",aut
87,9992225682001488,"Michelet, Jacques",aut
88,9992225682301488,"Benoist, René",aut
89,9992225682701488,"Choquart, Charles",aut
90,9992225683001488,"Heluïs, Jean",aut
91,9992225683301488,"Grandin, François",aut
92,9992225708801488,Galen.,aut
93,9992228558101488,"Lefèvre d'Étaples, Jacques",aut
94,9992228558401488,"Du Préau, Gabriel",aut
95,9992228563501488,"de Lavardin, Jean",aut
96,9992228566201488,"Capitis, Fremin",aut
97,9992228566901488,"Le Blanc, Guillaume",aut
98,9992229880001488,"Erasmus Roterodamus, Desiderius",aow
99,9992230391901488,"Richardot, François",aut
100,9912560920101488,"Acciaiuoli, Zenobio",trl
101,9912637080101488,"Stapleton, Thomas",aut
102,9912955770101488,Lupus Ferrariensis.,aut
103,9912956300101488,"de Launoy, Matthieu",aut
104,9912960200101488,"Pollet, François",aut
105,9912986670101488,Martinus Bracarensis,ctb
106,9913059800101488,"de Croy, Robert",oth
107,9913071730101488,"Valerius, Cornelius",aut
108,9913079780101488,"Valerius, Cornelius",aut
109,9913079830101488,"Valerius, Cornelius",aut
110,9913119760101488,"Bacherius, Petrus",edt
111,9913155500101488,"Egnazio, Giovanni Battista",edt
112,9913198590101488,"Lipsius, Justus",edt
113,9913238510101488,"Witzel, Georg",aut
114,9913312620101488,Marcus Eremita,aut
115,9913391030101488,Andronicus,dte
116,9913866580101488,"Molina, Ludovicus",aut
117,9913879820101488,Philip,dte
118,9914033070101488,Aristoteles.,aut
119,9914047510101488,Aristoteles.,aut
121,9914179920101488,Basilius,aut
122,9914181700101488,"Galenus, Claudius.",aut
123,9914749000101488,Clemens,oth
124,9914866810101488,"de Carondelet, Charles",prt
125,9914947920101488,"Clenardus, Nicolaus",aut
126,9914948020101488,"Clenardus, Nicolaus",aut
127,9915101310101488,"Apianus, Petrus",aut
128,9915208790101488,"Dauré, Warnerus",dte
129,9915661070101488,"Velsius, Justus",aut
130,9915822140101488,"da Strada, Giacomo",aut
131,9916067400101488,Henri,oth
132,9916093520101488,"Albo, Joseph",aut
133,9916132840101488,Henry,dte
134,9916133090101488,"Augustinus, Aurelius",aut
135,9916134410101488,"Augustinus, Aurelius",aut
136,9916134700101488,"Augustinus, Aurelius",aut
137,9916141050101488,"Augustinus, Aurelius",aut
138,9916141180101488,"Augustinus, Aurelius",aut
139,9916141380101488,"Augustinus, Aurelius",aut
140,9916141540101488,"Augustinus, Aurelius",aut
141,9916141690101488,"Augustinus, Aurelius",aut
143,9916425270101488,"de la Motte, Pierre",trl
144,9916491840101488,"Dupuyherbault, Gabriel",aut
145,9916492720101488,Albrecht,dte
146,9916504170101488,"Augustinus, Aurelius",aut
147,9916517430101488,"Arias, Franciscus",aut
148,9916735800101488,"Meyer, Joachim",aut
149,9916824140101488,Charles,oth
150,9916911120101488,"Tursellinus, Horatius",aut
151,9916928400101488,"Vives, Juan Luis",aut
152,9916957460101488,Clemens,aut
153,9917200530101488,"Titelmannus, Franciscus",aut
154,9917518440101488,"Augustinus, Aurelius",aut
155,9917584310101488,"Michel, Jean",aut
156,9917899730101488,Ignatius Antiochenus.,aut
157,9917978870101488,Henri,dte
158,9918004690101488,Joannes Aloisius Tuscanus.,ctb
159,9918036310101488,"Titelmannus, Franciscus",aut
160,9918063940101488,"de Grouchy, Nicolas.",trl
161,9918065230101488,Aristoteles.,aut
162,9918065360101488,Aristoteles.,aut
163,9918067290101488,"Martialis, Marcus Valerius.",aut
164,9918112670101488,"Courtois, Gamaliel",dte
165,9918242750101488,"Salomon, Bernard",ill
166,9918414610101488,"Cavalcabo, Girolamo",aut
167,9918453390101488,"de Gondi, Pierre",dte
168,9918453410101488,"Codinus, Georgius.",trl
169,9918453720101488,Constantinus,aut
170,9918472720101488,Clemens,aut
171,9918696860101488,"Jansenius, Cornelius",aut
172,9918904550101488,"Bembo, Pietro",aut
173,9918922060101488,"Titelmannus, Franciscus",aut
174,9919054360101488,Gregory,pat
175,9919144900101488,Henri,dte
176,9919254770101488,"Benoit, Jean",ctb
177,9919258280101488,Henri,dte
178,9919278340101488,"Albaspineus, Sebastianus",oth
179,9919278540101488,"Ferretti, Emilio",aut
180,9919347430101488,"Brutus, Ioannes Michael",aut
181,9919347960101488,"Episcopius, Nicolaus",aut
182,9919350530101488,Justinus Martyr,aut
183,9919384010101488,"Givanius, Obertus",edt
184,9919386480101488,"Clichtoveus, Judocus",aut
185,9919387210101488,"de Guise, Charles",oth
186,9919406680101488,Johann der Beständige,dte
187,9919419530101488,"Tunstall, Cuthbert",aut
188,9919424020101488,Justinianus,aut
189,9919432760101488,"Clesio, Bernardo.",oth
190,9919435050101488,Philip,oth
191,9919445760101488,"Botero, Giovanni",aut
192,9919470760101488,"Streyters, Arnoldus",dte
193,9919513150101488,Gelasius Cyzicenus,aut
194,9919517250101488,"d'Esne, Michel",edt
195,9919639070101488,Henry,aut
196,9919668340101488,"de Mouchy, Antoine",aut
197,9919668830101488,Konrad,oth
198,9919710260101488,"Cajetanus, Thomas de Vio",aut
199,9919710840101488,"Grégoire, Pierre",aut
200,9935345230101488,"Tertullianus, Quintus Septimus Florens",aut
201,9935345840101488,"Blaes, Jacobus",dte
202,9935346840101488,Albrecht,dte
203,9935349630101488,Pius,pat
204,9935350380101488,"de Bertin, G.",eul
205,9935353490101488,"Auger, Émond",aut
206,9935355560101488,"de Saint-Priest d'Épinac, Pierre",dte
207,9935357250101488,"Thriverius Brachelius, Hieremias.",aut
208,9935357280101488,"Beauxamis, Thomas",aut
209,9935360320101488,"Royard, Jean",dub
210,9935361700101488,"Topiarius, Aegidius Dominicus",aut
211,9935362100101488,"Schegk, Jacob",aut
212,9935383540101488,"Royard, Jean",aut
213,9935389600101488,"Gropper, Patroculus",dte
214,9935390190101488,"Fremy, Claude",prt
215,9935393210101488,"Fremy, Claude",prt
216,9935398840101488,"Charterius, Daniel",eul
217,9935400880101488,Henri,dte
218,9935401600101488,"Guilliaud, Claude",aut
219,9935403380101488,"de Guise, Charles",dte
220,9935411400101488,Marcus Eremita,aut
221,9935413880101488,Gregorius Palamas Thessalonicensis,aut
222,9935419370101488,Thomas a Kempis,dub
223,9935420070101488,"Eschius, Nicolaus",aut
224,9935421970101488,Joannes Tauler,aut
225,9935424990101488,"Doré, Pierre",aut
227,9935426870101488,Luís de Granada,aut
228,9935438270101488,Luís de Granada,aut
229,9935441750101488,Luís de Granada,aut
230,9935441820101488,Luís de Granada,aut
231,9935460440101488,"Aegidius, Christophorus",eul
232,9935468350101488,"d'Auge, Daniel",ctb
233,9935470780101488,Catharina Genuensis,aut
234,9935480850101488,"de la Coste, Pierre",aut
235,9935919540101488,"de Marnef, Hieronymus",ctb
236,9936954320101488,"Gail, Andreas",aut
237,9936961940101488,"de Brézé, Etienne",dte
238,9936967680101488,Albertus de Gandino,ctb
239,9936983710101488,"Bartolini, Giovanni Battista",aut
240,9936984180101488,"Gaetani, Camillus",dte
241,9936987910101488,"Naogeorgus, Thomas",edt
242,9936994330101488,"Imbert, Jean",aut
243,9937004740101488,"de Lénoncourt, Robert",dte
244,9937023640101488,"Epo, Boetius",aut
245,9937030930101488,"Caetano, Camillo",dte
246,9937057010101488,"Benoist, René",ctb
247,9937059020101488,Julius,udr
248,9937059670101488,Pius,pat
249,9937060230101488,"d'Espence, Claude.",aut
250,9937068090101488,"de Croÿ, Antoine",dte
251,9937084010101488,Paul,ctb
252,9937099960101488,"de Pellevé, Nicolas",dte
253,9937158730101488,Palladius,aut
254,9937187900101488,"Bourgeois, Jacques",edt
256,9937195600101488,"Allarius, Laurentius",aut
257,9937217590101488,Albrecht,dte
258,9937219700101488,"d'Hébrard de Saint-Sulpice, Antoine",dte
259,9937235300101488,Dionysius Carthusianus,aut
260,9937235530101488,Innocentius,aut
261,9937239940101488,Luís de Granada,aut
262,9937320860101488,"Busaeus, Petrus",aut
263,9937347140101488,Accursius,ann
264,9937356910101488,Franciscus de Zabarellis,aut
265,9937358410101488,"de Torquemada, Juan",aut
266,9937358550101488,"de Bohier, Nicolas",edt
267,9937359210101488,"de Torquemada, Juan",aut
268,9937359320101488,"de Torquemada, Juan",aut
269,9937359410101488,"de Torquemada, Juan",aut
270,9937359450101488,"de Torquemada, Juan",aut
271,9937361160101488,"Boier, P.",eul
272,9937362490101488,"Horborch, Guillelmus",com
273,9937365910101488,Matthias de Salo,aut
274,9937368220101488,Matthias de Salo,aut
275,9937383770101488,Charles,dte
276,9937415230101488,"Eder, Georg",pub
277,9937429790101488,"Jover, Francisco",aut
278,9937433800101488,"Alamanni, Jean-Bapitste",dte
279,9937434130101488,"Bertrand, Nicolas",aut
280,9937435970101488,Philip,dte
281,9937438300101488,"Ardillon, Antoine",dte
282,9937441790101488,"Le Clerc, Jean",aut
283,9937442900101488,"Choppin, René",aut
284,9937453700101488,"Boissard, Jean Jacques",aut
285,9937485700101488,Henri,oth
286,9937485840101488,"Androuet Du Cerceau, Jacques",aut
287,9937495150101488,Athenaeus Naucratita.,aut
288,9937506780101488,"Boillot, Joseph",aut
289,9938020220101488,Justinianus,aut
290,9939409750101488,Justinianus,com
291,9939410040101488,Justinianus,pat
292,9939410870101488,Justinianus,aut
293,9939411530101488,Justinianus,aut
294,9939412000101488,Justinianus,aut
295,9939420260101488,August,dte
296,9939421270101488,"Bertrand, Pierre",dte
297,9939436620101488,Bartolus de Saxoferrato,aut
298,9939436930101488,Bartolus de Saxoferrato,aut
299,9939437100101488,Bartolus de Saxoferrato,aut
300,9939437370101488,Bartolus de Saxoferrato,aut
301,9939437690101488,Bartolus de Saxoferrato,aut
302,9939437870101488,Bartolus de Saxoferrato,aut
303,9939437960101488,Bartolus de Saxoferrato,aut
304,9939438010101488,Bartolus de Saxoferrato,aut
305,9939438190101488,Bartolus de Saxoferrato,aut
306,9939438790101488,Bartolus de Saxoferrato,aut
307,9939439170101488,Bartolus de Saxoferrato,aut
308,9939465000101488,"Marc, François",aut
309,9939476200101488,"Calepinus, Ambrosius",aut
310,9939489870101488,"Amerbach, Bonifacius",dte
311,9939490480101488,"Benz, Johann",aut
312,9939496380101488,"Baduel, Claude.",ann
313,9939499320101488,"Amerbach, Bonifacius",dte
314,9939499350101488,"Amerbach, Bonifacius",dte
315,9939692170101488,"de Guellis, Germain Vaillant",dte
317,9939731250101488,Charles,dte
320,9940104540101488,Baptista Mantuanus,eul
321,9940120700101488,Marguerite de France,dte
322,9940121210101488,"de Tyard, Pontus",aut
323,9940121730101488,"de Courcelles, Pierre",aut
324,9940122440101488,"Sepin, Gervais.",aut
325,9940123080101488,Charles,dte
326,9940123160101488,"Meigret, Louis",aut
327,9940123430101488,"Meigret, Louis",aut
328,9940123980101488,"Jodelle, Etienne",aut
329,9940124190101488,"des Roches, Catherine",aut
330,9940137270101488,"Le Duchat, François",aut
331,9940142530101488,"Fischart, Johann",aut
332,9940206230101488,"Havenreuter, Johann Ludwig",udr
333,9970128950101488,"Carranza, Bartholomaeus",aut
334,9970129830101488,"Carion, Johann",aut
335,9970174860101488,Clemens,pat
336,9970179020101488,Paul,oth
337,9972529390101488,"Dasypodius, Konrad",aut
339,9974380790101488,"Aubert, Jacques",aut
340,9974381610101488,"Du Chesne, Joseph",aut
341,9974391790101488,Henri,oth
342,9974396890101488,"Bassecourt, C.D.",com
343,9974462080101488,"de Saint-Priest d'Épinac, Pierre",pat
345,9974935680101488,"de Ribera, Francisco",aut
346,9974936250101488,Henry,dte
347,9975209530101488,Franciscus de Borgia,pub
348,9976058090101488,"Simeoni, Gabriel",aut
349,9976067800101488,Antonius a Konygsteyn,aut
350,9976067990101488,"de Castro, Alphonsus",aut
351,9976072010101488,"Titelmannus, Franciscus",aut
352,9976082420101488,Charles,dte
353,9976097350101488,"Wild, Johann",aut
354,9976098910101488,Antonius a Konygsteyn,aut
355,9976106850101488,"de Casarubios, Alfonso",aow
356,9976110920101488,"Bourlé, Jacques",ctb
357,9976139950101488,"Titelmannus, Franciscus",aut
358,9976147320101488,Charles,dte
359,9976164340101488,"Streyters, Arnoldus",dte
360,9977096140101488,Charles,dte
361,9977107350101488,"Bourchier, Thomas",aut
362,9977107520101488,"Bourchier, Thomas",aut
363,9977114900101488,"Diez, Felippe",aut
364,9977139310101488,Cyrillus Alexandrinus,aut
365,9977140230101488,"Agricola, Philippus",ctb
366,9977148980101488,"Royard, Jean",aut
367,9977257720101488,"Diez, Felippe",aut
368,9977284400101488,"Royard, Jean",aut
369,9977284470101488,"Royard, Jean",aut
370,9977284570101488,"Royard, Jean",aut
371,9977284760101488,"Crucius, Levinus",eul
372,9977285340101488,"Titelmannus, Franciscus",aut
373,9977289520101488,Baptista Mantuanus,eul
375,9977339790101488,"Benoit, Jean",edt
376,9977341950101488,Petrus Lombardus,aut
377,9977376180101488,"Benoit, Jean",aut
378,9977383390101488,"Bousmard, Nicolas",dte
379,9977383750101488,"Capitis, Fremin",aut
380,9977443430101488,"Gropper, Johann",dte
381,9977444440101488,"Helm, Heinrich",aut
382,9977454120101488,Hieronymus,aut
383,9977465550101488,"de' Medici, Catherine",dte
384,9977516070101488,"Alleaume, Benedictus F.",dte
385,9977563980101488,"de Lavinheta, Bernardus",edt
386,9977564140101488,Raymundus Lullus,aut
387,9977564530101488,Raymundus Lullus,aut
388,9977668430101488,"Titelmannus, Franciscus",aut
389,9977788280101488,"Aceti de' Porti, Serafino",aut
390,9979740940101488,Velleius Paterculus,aut
391,9979910380101488,"Lipsius, Justus",aut
392,9979993050101488,"Stapleton, Thomas",aut
393,9980026250101488,"Titelmannus, Franciscus",aut
394,9980027340101488,Hippocrates.,pub
395,9980211430101488,Aristoteles.,aut
396,9980783800101488,Alexander Aphrodisiensis.,aut
397,9980786140101488,"Beyer, Hartmann.",aut
398,9980786580101488,Joannes de Sacro Bosco.,aut
399,9980983770101488,Diogenes Laertius.,aut
401,9992616206001488,Thomas Aquinas,aow
402,9992616206101488,"Banes, Dominicus",aut
403,9992616206301488,Bonifacius,pat
405,9992623309501488,"Tiraqueau, André",aut
406,9992628398901488,"Zwingli, Huldrych",trl
407,9932422100101488,"de Foix, François",edt
408,9932422540101488,"Amyot, Jacques",dte
409,9932424640101488,Charles,dte
410,9932427690101488,Aristoteles.,aut
411,9932429170101488,Aristoteles.,pub
412,9932429580101488,Aristoteles,aut
413,9932429760101488,Aristoteles.,aut
414,9932433330101488,"Brigardus, Franciscus",eul
415,9932445180101488,"Le Monnier, Pierre",eul
416,9932447290101488,Justinianus,aut
417,9932449240101488,"Balduinus, Franciscus",aut
418,9932450140101488,Dinus de Mugello,aut
419,9932453020101488,Marguerite de France,dte
420,9932455810101488,Ercole d'Este,dte
421,9932456160101488,"de Coras, Jean",aut
422,9932456250101488,"de Coras, Jean",edt
423,9932456320101488,"de Coras, Jean",aut
424,9932468310101488,"Durantes, Joannes Dilectus.",aut
425,9932476800101488,"Bellon, Jean",aut
426,9932478980101488,"Brechter, Bernhardus Fridericus",dte
427,9932492370101488,"d'Armagnac, Georges",dte
428,9932492760101488,Dio Cassius Cocceianus.,aow
429,9932495240101488,Agennius Urbicus.,aut
430,9932495980101488,"Ingegneri, Angelo",edt
431,9932496420101488,"de Lorraine, Claude",dte
432,9932496620101488,"Collin, Jean",trl
433,9932498000101488,"Guillonius, Renatus",aut
434,9932499090101488,"Columella, Lucius Iunius Moderatus.",aut
435,9932505580101488,"Cicero, Marcus Tullius",aut
436,9932512660101488,Isidorus Hispalensis.,aut
437,9932515950101488,"Pilot, Jean",aut
438,9932516510101488,"de Campagnan, Simon",eul
439,9932516890101488,"du Bartas, Guillaume de Saluste",aut
440,9932517100101488,"du Bartas, Guillaume de Saluste",aut
441,9932519390101488,Louis,oth
443,9932520930101488,Henry,dte
444,9932523220101488,François,oth
445,9932523480101488,Charles,oth
446,9932536620101488,"Pasquier, Etienne",aut
447,9932538520101488,Henry,pub
448,9932542160101488,Henry,pub
449,9932542820101488,Albrecht,dte
450,9932543530101488,"White, Richard",aut
451,9932543890101488,"White, Richard",aut
452,9932544040101488,"Grenet, Vedastus",dte
453,9932579600101488,August,dte
454,9932591670101488,Henri,oth
455,9932593050101488,"Albinus, Horatius",ctb
456,9934805640101488,"Fumee, Martin",trl
457,9934807580101488,"Röslin, Helisaeus",aut
458,9934807790101488,Henri,oth
459,9935134330101488,"Roterus, Spiritus",aut
460,9935138950101488,"de Sainctes, Claude",aut
461,9935139290101488,"Fabricius, Gabriel",aut
462,9935142130101488,Charles,dte
463,9935146660101488,"Titelmannus, Franciscus",aut
464,9935148300101488,Philip,dte
465,9935149540101488,"Capetius, Joannes",aut
466,9935150500101488,"de Guise, Charles",dte
467,9935152960101488,"de Montmorency, Anne",dte
468,9935161820101488,Joannes de Monte Maiori,dte
469,9935171080101488,"Bunderius, Joannes",aut
470,9935172830101488,Clement,dte
471,9935199810101488,"Protasewicz, Valerianus",dte
472,9935200250101488,"Bellarmino, Roberto",aut
473,9935202880101488,"Bellarmino, Roberto",aut
474,9935205020101488,"Possevino, Antonio",aut
475,9935205230101488,"Bodin, Jean",pub
476,9935206760101488,"de Mandelot, François",dte
477,9935219890101488,"Vives, Juan Luis",aut
478,9935221750101488,"Jourdain, Thibaut",aut
479,9935222020101488,"Stumpf, Johann",aut
482,9935222240101488,"de Cognieres, Pierre",aut
483,9935222500101488,"Guéroult, Guillaume",aut
484,9935228270101488,Sixtus,dte
485,9935231840101488,"d'Ornano, Alphonse",dte
486,9935233460101488,"de l'Espine, Jean",ctb
487,9935238730101488,James,dte
488,9935239120101488,"Laing, James.",aut
489,9935267480101488,Henry,dte
490,9935281080101488,"de la Roche Chandieu, Antoine",aut
491,9935290340101488,Clemens,dte
492,9935290920101488,"Costerus, Franciscus",aut
493,9935291230101488,"d'Armagnac, Georges",dte
494,9935301800101488,"de la Rochefoucauld, François",aut
495,9935304750101488,"Bouchet, Guillaume",aut
496,9935305130101488,"Tardif, Guillaume",aut
497,9935305620101488,"d'Alagona, Arthelouche",aut
498,9935305710101488,"Bouchet, Guillaume",aut
499,9935306040101488,Henry,dte
500,9935310270101488,"de Villars, Pierre",dte
501,9935310660101488,"Danes, Pierre",dte
502,9935312060101488,"de Guise, Charles",dte
504,9935333150101488,"de Bollo, Pierre",aut
505,9935333470101488,"de Bollo, Pierre",aut
506,9935345070101488,"Broustin, Etienne.",aut
507,9980984200101488,"Aelianus, Claudius.",aut
508,9982543310101488,"de Chevalier, Guillaume",aut
509,9983037410101488,Felipe,dte
510,9983053980101488,"de la Chassagne, Geoffroi",trl
511,9983099850101488,"de Boiseon, Pierre",dte
512,9983848760101488,"Lesueur, Nicolas",aut
513,9983850060101488,"Bodin, Jean",aut
514,9983856350101488,"Sigonio, Carlo",aut
515,9983856480101488,"Sigonio, Carlo",aut
516,9983862530101488,"Amyot, Jacques",trl
518,9983879350101488,"Crüser, Hermann",edt
519,9983891980101488,"Genebrardus, Gilbertus",aut
520,9983892960101488,"Choppin, René",aut
521,9983917620101488,"Périon, Joachim",aut
522,9983917910101488,"Manutius, Aldus",aut
523,9983945000101488,"Colvius, Petrus",ann
524,9983945370101488,"de Brinon, Yves",trl
525,9983962750101488,"Fumee, Martin",trl
526,9983966780101488,"Deserpz, François",aut
527,9983967120101488,Aristoteles.,aut
528,9983967690101488,"Obrizius, Robertus",aut
529,9983968620101488,"de Vigenère, Blaise",aut
530,9984023250101488,"Hospitalius, Michel",aut
531,9984024010101488,"de Craon, Claude",aut
532,9984024190101488,"de Thou, Christophe",hnr
533,9984024570101488,"Pithou, Pierre",com
534,9984024910101488,"L'Anglois, Pierre",aut
535,9984024990101488,"de Muret, Marc-Antoine",aut
536,9984029490101488,"Turnebus, Adrianus",aut
537,9984029640101488,"Turnebus, Adrianus",aut
538,9984029810101488,"Turnebus, Adrianus",aut
539,9984029960101488,Aristoteles.,aut
541,9984050740101488,Henri,dte
542,9984051140101488,"Frichius, Ambrosius",aut
544,9984658320101488,"Sirleto, Guglielmo",trl
545,9984699190101488,"Dorat, Jean",aut
546,9984699310101488,"Toscano, Giovanni Matteo",aut
547,9984703540101488,Arnulphus Lexoviensis,aut
548,9984705450101488,"Gervais de Tournai, Martin",aut
549,9984713850101488,"von Schussenried, Werner",aut
552,9984717650101488,"Turnebus, Adrianus",aut
553,9984717810101488,"de Coras, Jean",trl
554,9984718210101488,"Nanni, Giovanni",edt
555,9984718340101488,"Akakia, Martin",trl
556,9984720290101488,Bernardus de Gordonio,aut
557,9984721790101488,"Brucioli, Antonio",aut
558,9984721910101488,"de Cattan, Christophe",aut
559,9984722340101488,"Besson, Jacques",aut
560,9984722800101488,"des Bordes, Guillaume",trl
561,9984722930101488,"Jacquinot, Dominique",aut
562,9984723550101488,"Mizauld, Antoine",aut
563,9984723690101488,"Manzolli, Pietro Angelo",aut
565,9984724220101488,Ignatius Antiochenus.,aut
566,9984724410101488,"Cordier, Mathurin",aut
567,9984724470101488,"Ramus, Petrus",aut
568,9984724590101488,"Ramus, Petrus",aut
569,9984724980101488,"Durand, Pierre",dub
570,9984725270101488,"Manutius, Paulus",aut
572,9984725880101488,"Clenardus, Nicolaus",aut
573,9984725980101488,"Canini, Angelo",aut
575,9984727080101488,"Hurault, Michel",aut
577,9984728930101488,"Morel, Guillaume",aut
578,9984729080101488,"Moschopulus, Manuel",aut
579,9984729240101488,"Budé, Guillaume",aut
580,9984731150101488,"Guillon, René",aut
581,9984733560101488,"Estienne, Henri",aut
582,9984739140101488,"de Muret, Marc-Antoine",aut
583,9984739280101488,"de Muret, Marc-Antoine",aut
584,9984739700101488,"Cassander, Georgius",aut
585,9984739980101488,"Cicero, Marcus Tullius",aut
586,9984740130101488,Phaedrus.,aut
587,9984746640101488,Janus Secundus,aut
588,9984800690101488,"Vergilius, Polydorus",aut
589,9984800860101488,"Vergilius, Polydorus",aut
590,9984801730101488,"Corrozet, Gilles",aut
591,9984802960101488,"Busbequius, Augerius Gislenius",aut
592,9984804310101488,"Simmler, Josias",aut
593,9984805370101488,"Tomeo, Niccolò Leonico",aut
594,9984807160101488,"de Bez, Ferrand",aut
596,9984807650101488,"du Faur de Pibrac, Guy",aut
597,9984807980101488,Henri,pub
598,9984809650101488,"Boulenger, Pierre",aut
599,9984810420101488,"de la Haye, Jean",aut
600,9984812450101488,"Morel, Guillaume",aut
601,9984812540101488,"Morel, Guillaume",aut
602,9984812600101488,"Morel, Guillaume",aut
603,9984813220101488,"Fumo, Bartolomeo",aut
604,9984814620101488,Aristaenetus.,aut
605,9984816090101488,Phaedrus.,aut
606,9984816430101488,Clemens,aut
607,9984816610101488,"de Sainctes, Claude",aut
608,9984874560101488,"White, Richard",aut
609,9984900260101488,"Fabri, Nicolaus",edt
610,9984900440101488,Ignatius Antiochenus.,aut
611,9984903990101488,Joannes Chrysostomus,aut
612,9984904190101488,Joannes Chrysostomus,aut
613,9984905260101488,Synesius Cyrenensis,aut
614,9984905620101488,Georgius Pisida,aut
615,9984912540101488,"Marcilius,Theodorus",aut
616,9984913290101488,"de Gorris, Jean",trl
617,9984913450101488,Euclides,aut
618,9984942290101488,Homerus.,aut
619,9984942320101488,Isocrates.,aut
620,9984945730101488,Lycophron.,aut
621,9984945800101488,Lycophron.,aut
622,9984952130101488,"Galenus, Matthaeus",aut
623,9984953370101488,"Canini, Angelo",aut
624,9984953750101488,"Estienne, Henri",aut
625,9984988300101488,"Pasquier, Etienne",aut
626,9985050030101488,"Bontemps, Augustinus",aut
627,9985122020101488,"de Montaigne, Michel Eyquem",aut
628,9985135580101488,Dinus de Mugello,aut
629,9985135690101488,"Decio, Filippo",aut
630,9985145850101488,"Michel, Jean",aut
631,9985193020101488,"Masson, Jean Papire",aut
632,9985193550101488,"de Guise, Louis",aut
633,9985243320101488,"de Grouchy, Nicolas.",edt
634,9985244510101488,"Genebrardus, Gilbertus",trl
635,9985244710101488,Yose ben Ḥalafta,aut
636,9985397500101488,"Alciatus, Andreas",ctb
638,9988209540101488,"Benoit, Jean",edt
639,9988209560101488,Henry,pub
640,9988210630101488,Clemens,dub
641,9988230840101488,Nicephorus Callistus Xanthopulus,aut
